dataset;classifier;model-id;validation;accuracy;precision-micro;precision-macro;precision-weighted;recall-micro;recall-macro;recall-weighted;f1-score-micro;f1-score-macro;f1-score-weighted;auc-roc;explainer;removed_events_relevance;removed_events_num;explanation-time-avg;explanation-time-total;time-stamp
bpi2013i_raw;LSTM;1;split-0.8;0.95;0.95;0.9336601307189544;0.9530882352941177;0.95;0.9326324469181613;0.95;0.9500000000000001;0.927163502216807;0.949271499644634;0.9978285619435322;lrp;highest;1;0.03171321000000001;3.171321000000001;2021-03-02T12:36:52.896944+01:00
bpi2013i_raw;LSTM;1;split-0.8;0.91;0.91;0.9030612244897959;0.9259126984126983;0.91;0.8834054834054834;0.91;0.91;0.8775612450097576;0.9113231745371334;0.9846295499263;lrp;highest;2;0.047334325000000003;9.466865;2021-03-02T12:50:35.521956+01:00
bpi2013i_raw;LSTM;1;split-0.8;0.88;0.88;0.8011204481792717;0.8903501400560223;0.88;0.7950133992991136;0.88;0.88;0.7895902677948332;0.8801646799936966;0.984748518310852;lrp;highest;3;0.08207592666666665;24.622777999999993;2021-03-02T13:11:39.318800+01:00
bpi2013i_raw;LSTM;1;split-0.8;0.78;0.78;0.7047619047619048;0.80025;0.78;0.6815687487116059;0.78;0.78;0.6693550401798725;0.7756498591275625;0.9698592140783602;lrp;highest;4;0.03422421;3.422421;2021-03-02T12:55:56.969732+01:00
bpi2013i_raw;LSTM;1;split-0.8;0.81;0.81;0.8194599051741908;0.8643376623376624;0.81;0.716720263863121;0.81;0.81;0.7161231159130319;0.8187205882352941;0.9670016554162695;lrp;highest;5;0.047034094999999956;9.406818999999992;2021-03-02T13:10:08.428197+01:00
