dataset;classifier;model-id;validation;accuracy;precision-micro;precision-macro;precision-weighted;recall-micro;recall-macro;recall-weighted;f1-score-micro;f1-score-macro;f1-score-weighted;auc-roc;explainer;removed_events_relevance;removed_events_num;explanation-time-avg;explanation-time-total;time-stamp
bpi2012_complete_raw;LSTM;1;split-0.8;0.99;0.99;0.9866666666666667;0.992;0.99;0.9888888888888889;0.99;0.99;0.9865319865319865;0.9901010101010101;0.9995899822695035;lrp;highest;1;0.04358711000000001;4.358711000000001;2021-03-02T09:39:48.912771+01:00
bpi2012_complete_raw;LSTM;1;split-0.8;0.97;0.97;0.9881578947368421;0.9723026315789474;0.97;0.9555555555555556;0.97;0.97;0.9686455286455288;0.9687204867204868;0.9992427600472812;lrp;highest;2;0.04546303000000001;9.092606000000002;2021-03-02T09:42:06.772264+01:00
bpi2012_complete_raw;LSTM;1;split-0.8;0.98;0.98;0.914864864864865;0.9727702702702703;0.98;0.9238095238095239;0.98;0.98;0.9177680766721862;0.9753981634803551;0.9966040614478114;lrp;highest;3;0.054525546666666674;16.357664000000003;2021-03-02T09:44:39.281184+01:00
bpi2012_complete_raw;LSTM;1;split-0.8;0.96;0.96;0.8381578947368421;0.9448026315789474;0.96;0.8388888888888889;0.96;0.96;0.8353121953121952;0.9501490581490581;0.9947682520671731;lrp;highest;4;0.06304268249999999;25.217072999999996;2021-03-02T09:47:22.867808+01:00
bpi2012_complete_raw;LSTM;1;split-0.8;0.92;0.92;0.8023292523292523;0.9107617232617232;0.92;0.7722222222222221;0.92;0.92;0.7679659850440078;0.9019858844550326;0.9950972848596368;lrp;highest;5;0.07412065400000004;37.060327000000015;2021-03-02T09:50:16.452129+01:00
